序号,sector,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,今日超大单净流入-净占比,large_net,今日大单净流入-净占比,medium_net,今日中单净流入-净占比,small_net,今日小单净流入-净占比,今日主力净流入最大股,fetch_time
18,水力发电,2.15,291674736.0,3.84,420279040.0,5.54,-128604304.0,-1.69,-181532512.0,-2.39,-110153952.0,-1.45,韶能股份,2026-05-12 14:34:25
19,铁路公路,-0.13,286451120.0,4.64,203768016.0,3.3,82683104.0,1.34,-157342096.0,-2.55,-129052800.0,-2.09,京沪高铁,2026-05-12 14:34:25
20,食品及饲料添加剂,-0.22,286387024.0,6.41,64757328.0,1.45,221629696.0,4.96,59483312.0,1.33,-351272624.0,-7.86,新 和 成,2026-05-12 14:34:25
21,非金属材料Ⅱ,2.03,226647632.0,3.58,329315248.0,5.21,-102667616.0,-1.62,-130622496.0,-2.06,-97806864.0,-1.55,石英股份,2026-05-12 14:34:25
22,非金属材料Ⅲ,2.03,226647632.0,3.58,329315248.0,5.21,-102667616.0,-1.62,-130622496.0,-2.06,-97806864.0,-1.55,石英股份,2026-05-12 14:34:25
23,半导体设备,3.55,211169536.0,0.5,489512704.0,1.16,-278343168.0,-0.66,-361053952.0,-0.86,149249408.0,0.35,富创精密,2026-05-12 14:34:25
24,空调,-0.81,188841760.0,4.3,-26128944.0,-0.59,214970704.0,4.89,-169377584.0,-3.86,-19464192.0,-0.44,格力电器,2026-05-12 14:34:25
25,影视动漫制作,-0.54,167696720.0,2.22,-10879824.0,-0.14,178576544.0,2.37,-121472928.0,-1.61,-46217072.0,-0.61,华策影视,2026-05-12 14:34:25
26,钼,3.0,164830112.0,6.18,66733744.0,2.5,98096368.0,3.68,-14555248.0,-0.55,-150274848.0,-5.63,金钼股份,2026-05-12 14:34:25
27,其他生物制品,-1.72,157106960.0,1.57,16512016.0,0.17,140594944.0,1.41,43999856.0,0.44,-201051744.0,-2.01,荣昌生物,2026-05-12 14:34:25
28,体育Ⅱ,2.52,156981438.0,10.73,105439806.0,7.21,51541632.0,3.52,21649664.0,1.48,-178632512.0,-12.21,中体产业,2026-05-12 14:34:25
29,体育Ⅲ,2.52,156872014.0,10.72,105439806.0,7.2,51432208.0,3.51,21698768.0,1.48,-178572192.0,-12.2,中体产业,2026-05-12 14:34:25
30,医药流通,-0.56,140726226.0,4.11,124281698.0,3.63,16444528.0,0.48,19160128.0,0.56,-159886368.0,-4.67,重药控股,2026-05-12 14:34:25
31,核力发电,0.49,133532509.0,6.41,97217069.0,4.67,36315440.0,1.74,23848416.0,1.15,-157288720.0,-7.55,中国核电,2026-05-12 14:34:25
32,铁矿石,-0.81,109618303.0,5.52,115234879.0,5.8,-5616576.0,-0.28,-10800032.0,-0.54,-98818288.0,-4.98,大中矿业,2026-05-12 14:34:25
33,影视院线,-0.59,96165248.0,1.18,-53782528.0,-0.66,149947776.0,1.83,-97607648.0,-1.19,1449120.0,0.02,华策影视,2026-05-12 14:34:25
34,其他数字媒体,2.83,95134504.0,12.77,46727211.0,6.27,48407293.0,6.5,5817134.0,0.78,-100948525.0,-13.55,风语筑,2026-05-12 14:34:25
35,风力发电,0.83,83864928.0,0.74,-28669504.0,-0.25,112534432.0,0.99,114144992.0,1.01,-197977152.0,-1.75,华电新能,2026-05-12 14:34:25
36,电能综合服务,0.72,82050064.0,1.29,-67680784.0,-1.07,149730848.0,2.36,102830688.0,1.62,-184886384.0,-2.91,乐山电力,2026-05-12 14:34:25
37,贵金属,-1.15,80939488.0,0.35,-80735776.0,-0.35,161675264.0,0.71,610618624.0,2.68,-691554560.0,-3.03,兴业银锡,2026-05-12 14:34:25
38,LED,-0.6,71895920.0,0.37,-253794960.0,-1.32,325690880.0,1.69,257576704.0,1.34,-329500672.0,-1.71,三安光电,2026-05-12 14:34:25
39,金融信息服务,-0.68,66393315.0,3.11,43434243.0,2.03,22959072.0,1.07,27549760.0,1.29,-93943104.0,-4.4,拉卡拉,2026-05-12 14:34:25
40,彩电,1.76,58582784.0,1.51,54540576.0,1.41,4042208.0,0.1,-29419904.0,-0.76,-29151296.0,-0.75,兆驰股份,2026-05-12 14:34:25
41,防水材料,1.71,54636642.0,4.65,9392221.0,0.8,45244421.0,3.85,-20121968.0,-1.71,-34514672.0,-2.94,东方雨虹,2026-05-12 14:34:25
42,塑料包装,0.64,53085169.0,3.39,31204609.0,1.99,21880560.0,1.4,-2708384.0,-0.17,-29631072.0,-1.89,金富科技,2026-05-12 14:34:25
43,钛白粉,-0.2,49183582.0,3.54,59023630.0,4.25,-9840048.0,-0.71,-31304640.0,-2.25,-17878944.0,-1.29,龙佰集团,2026-05-12 14:34:25
44,水泥制品,-0.83,47851128.0,3.47,63775032.0,4.62,-15923904.0,-1.15,-19643680.0,-1.42,-28187232.0,-2.04,苏博特,2026-05-12 14:34:25
45,白色家电,-0.88,43742304.0,0.74,-132460912.0,-2.24,176203216.0,2.99,-141650096.0,-2.4,97907792.0,1.66,格力电器,2026-05-12 14:34:25
46,光伏辅材,-0.6,41558480.0,0.58,-67060496.0,-0.94,108618976.0,1.52,166710144.0,2.33,-217885488.0,-3.05,亚玛顿,2026-05-12 14:34:25
